DB_ID,TAZ,ModelTAZ,NAME,AreaType,EXT,centroidcount,District,District_Name
255,3708700005017       ,255,00005017    7       ,0,0,1,1,Waynesville         
256,3708700005018       ,256,00005018    8       ,0,0,1,1,Waynesville         
257,3708700005019       ,257,00005019    9       ,0,0,1,3,Canton              
258,3708700005020       ,258,00005020    0       ,0,0,1,3,Canton              
259,3708700005021       ,259,00005021    1       ,0,0,1,18,Cecil               
260,3708700005022       ,260,00005022    2       ,0,0,1,18,Cecil               
261,3708700005023       ,261,00005023    3       ,0,0,1,18,Cecil               
262,3708700005024       ,262,00005024    4       ,0,0,1,18,Cecil               
263,3708700005025       ,263,00005025    5       ,0,0,1,18,Cecil               
264,3708700005026       ,264,00005026    6       ,0,0,1,1,Waynesville         
265,3708700005027       ,265,00005027    7       ,0,0,1,18,Cecil               
266,3708700005028       ,266,00005028    8       ,0,0,1,18,Cecil               
267,3708700005029       ,267,00005029    9       ,0,0,1,18,Cecil               
268,3708700005030       ,268,00005030    0       ,0,0,1,18,Cecil               
269,3708700005031       ,269,00005031    1       ,0,0,1,1,Waynesville         
270,3708700005032       ,270,00005032    2       ,0,0,1,1,Waynesville         
271,3708700005033       ,271,00005033    3       ,0,0,1,1,Waynesville         
272,3708700005034       ,272,00005034    4       ,0,0,1,3,Canton              
273,3708700005035       ,273,00005035    5       ,0,0,1,3,Canton              
274,3708700005036       ,274,00005036    6       ,0,0,1,3,Canton              
275,3708700005037       ,275,00005037    7       ,0,0,1,3,Canton              
276,3708700005038       ,276,00005038    8       ,0,0,1,3,Canton              
277,3708700005039       ,277,00005039    9       ,0,0,1,3,Canton              
278,3708700005040       ,278,00005040    0       ,0,0,1,3,Canton              
279,3708700005041       ,279,00005041    1       ,0,0,1,18,Cecil               
280,3708700005042       ,280,00005042    2       ,0,0,1,16,Cruso               
281,3708700005043       ,281,00005043    3       ,0,0,1,3,Canton              
282,3708700005044       ,282,00005044    4       ,0,0,1,16,Cruso               
283,3708700005045       ,283,00005045    5       ,0,0,1,18,Cecil               
284,3708700005046       ,284,00005046    6       ,0,0,1,16,Cruso               
285,3708700005047       ,285,00005047    7       ,0,0,1,16,Cruso               
286,3708700005048       ,286,00005048    8       ,0,0,1,18,Cecil               
