ID,Street Name,Route Number,COUNTY,Screenline,TIP Project,Count Station ID,2005 Count Total,AB 2005 Count,BA 2005 Count,2005 Count,FUN_CLASS,CTP_Type,CTP_CD,TERRAIN_CD,DIVIDED_CD,SPD_LIMIT,LANE_WIDTH,AB_LANES,BA_LANES,MODE,CanWalk,TruckRstr
27799,Charlotte Hwy                       ,74A         ,Buncombe        ,0,         ,1000319,19380,8500,8500,17000,3,Other Major Thoroughfares  ,4,4,2,50,12,2,2,1   ,1,0
9628,I-40                                ,40          ,Buncombe        ,0,         ,       ,0,0,0,0,1,Freeways                   ,1,4,1,60,12,2,0,1   ,1,0
23384,I-40 EB                             ,40          ,Buncombe        ,0,         ,       ,0,0,0,0,1,Freeways                   ,1,4,1,60,12,2,0,1   ,1,0
23386,I-40 WB Ramp                        ,40          ,Buncombe        ,0,         ,       ,0,0,0,0,1,Freeways                   ,1,4,1,35,12,1,0,1   ,1,0
23389,I-40 EB Ramp                        ,40          ,Buncombe        ,0,         ,       ,0,0,0,0,1,Freeways                   ,1,4,1,45,12,1,0,1   ,1,0
10238,Tunnel Rd                           ,70          ,Buncombe        ,0,         ,1000298,17510,8500,8500,17000,3,Other Major Thoroughfares  ,4,4,2,45,12,2,2,1   ,1,0
10066,Porter Cove Rd                      ,2838        ,Buncombe        ,0,         ,1000289,19380,8500,8500,17000,7,Other Major Thoroughfares  ,4,4,0,35,12,2,2,1   ,1,0
23387,I-40 WB Ramp                        ,40          ,Buncombe        ,0,         ,       ,0,0,0,0,1,Freeways                   ,1,4,1,45,12,1,0,1   ,1,0
23388,I-40 EB Ramp                        ,40          ,Buncombe        ,0,         ,       ,0,0,0,0,1,Freeways                   ,1,4,1,35,12,1,0,1   ,1,0
23391,Porter Cove Rd                      ,2838        ,Buncombe        ,0,         ,       ,0,0,0,0,7,Other Major Thoroughfares  ,4,4,0,35,12,1,1,1   ,1,0
24034,Riceville Rd                        ,2002        ,Buncombe        ,0,         ,1000299,8858,4300,4300,8600,5,Minor Thoroughfares        ,5,4,0,55,11,1,1,1   ,1,0
23974,Blue Ridge Pky                      ,            ,Buncombe        ,0,         ,0103473,1716,1100,1100,2200,4,Minor Thoroughfares        ,5,3,0,40,10,1,1,1   ,1,0
15346,Riceville Rd                        ,2002        ,Buncombe        ,0,         ,1000300,2678,1300,1300,2600,5,Minor Thoroughfares        ,5,4,0,55,11,1,1,1   ,1,0
23380,                                    ,            ,Buncombe        ,0,         ,       ,0,0,0,0,0,Centroid Connector         ,99,0,0,35,12,1,1,1   ,1,0
23379,                                    ,            ,Buncombe        ,0,         ,       ,0,0,0,0,0,Centroid Connector         ,99,0,0,35,12,1,1,1   ,1,0
10898,Tunnel Rd                           ,70          ,Buncombe        ,0,         ,1000293,17100,7500,7500,15000,3,Other Major Thoroughfares  ,4,4,2,45,12,2,2,1   ,1,0
10655,Tunnel Rd                           ,70          ,Buncombe        ,0,         ,       ,0,0,0,0,3,Other Major Thoroughfares  ,4,4,2,45,12,2,2,1   ,1,0
11447,New Haw Creek Rd                    ,2032        ,Buncombe        ,0,         ,1000291,8034,3900,3900,7800,7,Minor Thoroughfares        ,5,4,0,35,12,1,1,1   ,1,0
23051,                                    ,            ,Buncombe        ,0,         ,       ,0,0,0,0,0,Centroid Connector         ,99,0,0,35,12,1,1,1   ,1,0
11255,Beverly Rd                          ,            ,Buncombe        ,0,         ,       ,0,0,0,0,3,Minor Thoroughfares        ,5,4,0,35,12,1,1,1   ,1,0
23050,                                    ,            ,Buncombe        ,0,         ,       ,0,0,0,0,0,Centroid Connector         ,99,0,0,35,12,1,1,1   ,1,0
12291,New Haw Creek Rd                    ,2032        ,Buncombe        ,0,         ,       ,0,0,0,0,7,Minor Thoroughfares        ,5,4,0,35,12,1,1,1   ,1,0
