ID, NAME, LONGNAME, MODE, OPERATOR, HEADWAY[1], HEADWAY[2], HEADWAY[3], WAITCURVE, TIMEFAC[1],USERA1, USERA2, USERA3, USERA4
257 , M23L5MI , RTE F/M: NW 22ND AVE -> MIA HEAR,21,292,45,60,45,,1.2,SV   ,M    ,1852 ,23   
258 , M23L5MO , RTE F/M: MIA HEART TO NW20 ST/19,21,292,45,60,45,,1.2,SV   ,M    ,1852 ,23   
259 , M23L14MI , RTE S: CBD TO AVENTURA N/B      ,21,292,12,12,12,,1.2,SV   ,S    ,12456,23   
260 , M23L14MO , RTE S:  AVENTURA TO CBD S/B     ,21,292,12,12,12,,1.2,SV   ,S    ,12456,23   
261 , M23L101MI , RTE 1: VIA BSWAY SB FRM DN METRO,21,292,30,40,30,,1.2,SV   ,1    ,1748 ,23   
262 , M23L101MO , RTE 1: VIA BSWAY NB FRM QL RST T,21,292,30,40,30,,1.2,SV   ,1    ,1748 ,23   
263 , M23L21MI , RTE 2: PKWY HOSP -> CBD S/B     ,21,292,60,60,60,,1.2,SV   ,2    ,4105 ,23   
264 , M23L21MO , RTE 2:CBD TO  PKWY HOSP N/B     ,21,292,60,60,60,,1.2,SV   ,2    ,4105 ,23   
265 , M23L22MI , RTE 2: HORACE SCH TO CBD S/B    ,21,292,30,30,30,,1.2,SV   ,2    ,4105 ,23   
266 , M23L22MO , RTE 2: CBD TO HORACE SCH N/B    ,21,292,30,30,30,,1.2,SV   ,2    ,4105 ,23   
267 , M23L23MI , RTE 3: AVENTURA TO CBD S/B      ,21,292,18,18,18,,1.2,SV   ,3    ,9276 ,23   
268 , M23L23MO , RTE 3: CBD TO AVENTURA N/B      ,21,292,18,18,18,,1.2,SV   ,3    ,9276 ,23   
269 , M23L24MI , RTE 6: COCONUT GROVE TO CBD S/B ,21,292,60,60,60,,1.2,SV   ,6    ,691  ,23   
270 , M23L24MO , RTE 6: CBD TO COCONUT GROVE N/B ,21,292,60,60,60,,1.2,SV   ,6    ,691  ,23   
271 , M23L25MI , RTE 7: DOLPHIN MALL TO CBD E/B  ,21,292,30,40,30,,1.2,SV   ,7    ,4828 ,23   
